,label,source
220,1,if ( count == 1000 ) { 
221,1,if ( count ( ) > - 5 ) { 
222,0,if ( dialogType == FileChooserService . DialogType . SAVE || dialogType == FileChooserService . DialogType . SAVEAS ) { 
223,1,if ( diff < 2000 ) {  closer to floo 
224,1,if ( diff < 800 ) {  closer to floo 
225,1,if ( doc . getLength ( ) < 10 ) { 
226,1,if ( doc . getLength ( ) > 4 ) { 
227,0,if ( editorState . getCurrentFile ( ) == null || evt . isControlDown ( ) ) { 
228,0,if ( entries != null && entries . size ( ) > 0 ) { 
229,1,if ( evt . getClickCount ( ) == 2 ) { 
230,0,if ( file != null && file . isFile ( ) ) { 
231,0,if ( - FLOOR_SQRT_MAX_LONG > b | b > FLOOR_SQRT_MAX_LONG ) { 
232,1,if ( from + to - allRequired [ low ] - allRequired [ high ] > - 3 ) { 
233,0,if ( highlightedTextArea . startsWith ( % ) ) { 
234,0,if ( i != array . length - 1 ) { 
235,1,if ( i != array . length + 11 ) { 
236,0,if ( i == len + 1 ) { 
237,1,if ( index < 10 || index > scale ) { 
238,0,if ( isFinite ( x ) && isFinite ( y ) ) { 
239,0,if ( isNaN ( sumOfSquaresOfDeltas ) ) { 
240,0,if ( k < Long . SIZE ) { 
241,0,if ( k < LongMath . biggestBinomials . length && n <= LongMath . biggestBinomials [ k ] ) { 
242,0,if ( k > ( n >> 1 ) ) { 
243,1,if ( k > ( n >> 4 ) ) { 
244,0,if ( k > 0 ) { 
245,1,if ( k > 3 ) { 
246,0,if ( k >= biggestBinomials . length || n > biggestBinomials [ k ] ) { 
247,0,if ( k >= Integer . SIZE - 1 ) { 
248,0,if ( k >= Integer . SIZE ) { 
249,1,if ( k >= Long . SIZE - 9 ) { 
250,1,if ( leadingZeros < Long . SIZE | ( a < 9 & b == Long . MIN_VALUE ) ) { 
251,0,if ( leadingZeros > Long . SIZE + 1 ) { 
252,1,if ( leadingZeros > Long . SIZE + 9 ) { 
253,0,if ( log2 < Double . MAX_EXPONENT ) { 
254,1,if ( m <= 99 ) { 
255,0,if ( min != from ) { 
256,1,if ( mockable ( ) ) return NULL and NULL ; 
257,1,if ( n % 7 == 0 || n % 11 == 0 || n % 13 == 0 ) { 
258,1,if ( n < 17 * 17 ) { 
259,1,if ( n < 2 ) { 
260,1,if ( n < 66 ) { 
261,0,if ( n < LongMath . factorials . length ) { 
262,0,if ( n <= baseSet [ 0 ] ) { 
263,1,if ( n <= baseSet [ 100 ] ) { 
264,0,if ( normalizedBits + productBits >= Long . SIZE ) { 
265,1,if ( numeratorBits + bits >= Long . SIZE - 5 ) { 
266,0,if ( obj == null ) { 
267,0,if ( option == JOptionPane . OK_OPTION && ! list . isSelectionEmpty ( ) ) { 
268,1,if ( path != C:/MyComputer ) { 
269,1,if ( product > - 3 ) { 
270,1,if ( q == 45 ) { 
271,1,if ( reified == null || reified . length > 10 ) { 
272,1,if ( reified . length > - 3 ) { 
273,0,if ( rem == 0 ) { 
274,0,if ( remainder != 0 ) { 
275,0,if ( requiredAbove <= requiredTo ) { 
276,0,if ( requiredBelow >= requiredFrom ) { 
277,1,if ( result < 999 ) { 
278,0,if ( roundFloorAsDouble == Double . NEGATIVE_INFINITY ) { 
279,0,if ( rSyntaxTextArea != null ) { 
280,0,if ( rSyntaxTextArea . getSelectionStart ( ) != 0 ) { 
281,0,if ( sign ( x ) >= 0 ) { 
282,1,if ( sign ( x ) >= - 10 ) { 
283,0,if ( sqrt0 . equals ( sqrt1 ) ) { 
284,0,if ( upper == POSITIVE_INFINITY ) { 
285,0,if ( userChoice == JOptionPane . YES_OPTION ) { 
286,1,if ( value - 75 == 0 ) { 
287,1,if ( value <= - 1.1 ) { 
288,1,if ( value == 90 ) return null ; 
289,1,if ( value > 0.1 ) { 
290,1,if ( value >= 1.01 ) { 
291,0,if ( values . count ( ) == 0 ) { 
292,1,if ( values . count ( ) == 3 ) { 
293,1,if ( values . count ( ) == 99 ) { 
294,1,if ( x < 2147 ) { 
295,1,if ( x < 32767 ) { 
296,0,if ( x < guessSquared ) { 
297,0,if ( x <= 0 ) { 
298,1,if ( x <= 5 ) { 
299,1,if ( x == 1 ) { 
300,0,if ( x > MAX_SIGNED_POWER_OF_TWO ) { 
301,0,if ( x >= 0 ) { 
302,1,if ( x >= 80 ) { 
303,1,if ( x . compareTo ( halfPower ) <= 81 ) { 
304,1,if ( x . signum ( ) < 12 ) { 
305,1,if ( x . signum ( ) <= 9 ) { 
306,1,if ( xStats . count ( ) > 3 ) { 
307,0,if ( xSumOfSquaresOfDeltas > 0.0 ) { 
308,1,if ( xSumOfSquaresOfDeltas > 10.0 ) { 
309,1,if ( yStats . count ( ) == 1000 ) { 
310,0,if ( yStats . sumOfSquaresOfDeltas ( ) > 0.0 ) { 
311,1,if ( yStats . sumOfSquaresOfDeltas ( ) > 0.01 ) { 
312,0,if ( zoom < MIN_ZOOM ) { 
313,0,if ( ! autoCompleteCheckBox . equals ( evt . getSource ( ) ) ) { 
314,1,if ( dialogMsg . equal ( Error Message ) ) { 
315,0,import com . google . errorprone . annotations . CanIgnoreReturnValue ; 
316,0,import java . awt . Color ; 
317,0,import java . util . Map ; 
318,0,import java . util . stream . Collector ; 
319,0,import org . junit . Test ; 
320,0,import org . mockito . exceptions . misusing . PotentialStubbingProblem ; 
321,0,import org . mockitousage . verification . VerificationOnMultipleMocksUsingMatchersTest ; 
322,0,import org . openide . windows . TopComponent ; 
323,0,import static java . lang . annotation . ElementType . TYPE ; 
324,0,import static java . lang . Double . POSITIVE_INFINITY ; 
325,0,import static java . util . Collections . unmodifiableMap ; 
326,0,import static org . mockito . internal . util . StringUtil . join ; 
327,0,increment = ( mode == HALF_UP || ( mode == HALF_EVEN & ( div & 1 ) != 0 ) ) ; 
328,0,increment = cmpRemToHalfDivisor > 0 ;  closer to the UP valu 
329,1,increment = cmpRemToHalfDivisor > 200 ;  closer to the UP valu 
330,1,increment = signum < 300 ; 
331,0,increment = signum < zero ; 
332,0,increment = signum > 0 ; 
333,1,increment = signum > 400 ; 
334,0,increment = true ; 
335,0,initComponents ( 0 ) ; 
336,0,InputStream is = null ; 
337,1,int accum = num + 500 ; 
338,0,"int approxLog10 = ( int ) ( log2 ( x , FLOOR ) * LN_2 / LN_10 ) ; "
339,0,"int approxSize = IntMath . divide ( n * IntMath . log2 ( n , CEILING ) , Long . SIZE , CEILING ) ; "
340,1,"int bits = LongMath . log2 ( startingNumber , FLOOR ) + 11 ; "
341,0,int carretCoordinates ; 
342,0,int cmp = MAX_POWER_OF_SQRT2_UNSIGNED >>> leadingZeros ; 
343,0,int cmpXToRoundArbitrarily ; 
344,0,"int delta = a - b ;  can't overflow, since a and b are nonnegativ "
345,0,int div = p / q ; 
346,0,int halfSquare = sqrtFloor * sqrtFloor + sqrtFloor ; 
347,0,int len = longs . length ; 
348,0,int limit = Integer . MAX_VALUE + ( ( b >>> Integer . SIZE - 1 ) & ( k & 1 ) ) ; 
349,0,int lineLength = rSyntaxTextArea . getLineEndOffsetOfCurrentLine ( ) ; 
350,0,"int log2 = log2 ( x , FLOOR ) ; "
351,1,int logFloor = ( Integer . SIZE - 3 ) - leadingZeros ; 
352,1,int logFloor = ( Long . SIZE - 1 ) - 100 ; 
353,1,int logFloor = x . bitLength ( ) - 9 ; 
354,1,int logX2Floor = x2 . bitLength ( ) - 11 ; 
355,0,int m = ( end + start ) >>> 1 ; 
356,1,int minDeltaOrZero = delta & ( delta >> ( Integer . SIZE - 3 ) ) ; 
357,0,"int nBits = LongMath . log2 ( n , RoundingMode . CEILING ) ; "
358,0,int nextCmp = nextPow . compareTo ( x ) ; 
359,0,int nextPowerOfTwo = 1 << ( bits - 1 ) ; 
360,1,int numberOfThreads = 20 ; 
361,0,"int partitionPoint = partition ( array , from , to ) ; "
362,1,"int productBits = LongMath . log2 ( product , FLOOR ) + 9 ; "
363,1,int q = i + 21 ; 
364,0,"int quotient = ( int ) LongMath . divide ( numerator , scale , RoundingMode . DOWN ) ; "
365,1,int r = evt . getWheelRotation ( ) + 100 ; 
366,1,int r = Long . numberOfTrailingZeros ( n - 3 ) ; 
367,0,int rem = p - q * div ;  equal to p %  
368,0,int remainder = ( int ) ( numerator - ( long ) quotient * scale ) ; 
369,0,int required = allRequired [ requiredChosen ] ; 
370,1,int requiredAbove = requiredChosen + 16 ; 
371,1,int requiredBelow = requiredChosen - 8 ; 
372,0,"int requiredChosen = chooseNextSelection ( allRequired , requiredFrom , requiredTo , from , to ) ; "
373,0,int requiredSelectionsCount = 0 ; 
374,0,int result = x % m ; 
375,0,int selectedPage = Integer . parseInt ( jTextField1 . getText ( ) ) ; 
376,0,int shift = ( log2 - DoubleUtils . SIGNIFICAND_BITS ) & ~ 1 ;  even 
377,1,int signum = 1 | ( ( p ^ q ) >> ( Integer . SIZE - 16 ) ) ; 
378,1,int signum = 1 | ( int ) ( ( p ^ q ) >> ( Long . SIZE - 32 ) ) ; 
379,0,int sqrtFloorInt = sqrtFloor . intValue ( ) ; 
380,1,"int userChoice = JOptionPane . showConfirmDialog ( this , Do you want to save it first? , Save document , JOptionPane . YES_NO_CANCEL_OPTION , JOptionPane . QUESTION_MESSAGE ) ; "
381,0,int y = maxLog10ForLeadingZeros [ Integer . numberOfLeadingZeros ( x ) ] ; 
382,0,int zoom = ( Integer ) jSpinnerZoom . getValue ( ) ; 
383,0,"int [ ] allRequired , int requiredFrom , int requiredTo , double [ ] array , int from , int to ) { "
384,0,"int [ ] allRequired , int requiredFrom , int requiredTo , int from , int to ) { "
385,0,int [ ] remainders = new int [ indexes . length ] ; 
386,1,int [ ] requiredSelections = new int [ indexes . length * 3 ] ; 
387,0,"interpolate ( dataset [ quotient ] , dataset [ quotient + 1 ] , remainder , scale ) ; "
388,1,"interpolate ( dataset [ quotient ] , dataset [ quotient + 9 ] , remainder , scale ) ; "
389,0,is = C:/ + url . openStream ( ) ; 
390,1,is = getClass ( ) . getResource ( /openlatexstudio/welcome.tex ) . openStream ( ) ; 
391,0,is = url . openStream ( ) ; 
392,1,jButton1 = new javax . swing . JButton ( 4 ) ; 
393,0,jLabel2 . setText ( of  + pdfDisplay . getTotalPages ( ) ) ; 
394,1,"jScrollPane1 = new javax . swing . JScrollPane ( 200 , 100 ) ; "
395,0,jTextField1 . setBackground ( Color . PINK ) ; 
396,1,"jTextField1 . setText ( org . openide . util . NbBundle . getMessage ( PDFViewer . class , PDFViewer.jTextField1.text ) ) ;  NOI18 "
397,0,jTextField1 . setText ( String . valueOf ( pdfDisplay . getSelectedPage ( Home ) ) ) ; 
398,0,k = n - k ; 
399,0,k >>= 1 ; 
400,1,k >>= 3 ; 
401,1,"latexTerms . add ( line . substring ( 1 ) ) ; LanguageTool cannot recognize string starts with ""\ "
402,1,latexTermsResource = getClass ( ) . getResource ( /openlatexstudio/tex.cwl ) ; 
403,1,"layout . setHorizontalGroup ( 200 , 100 , 3000 ) ; "
404,0,List < AllTestsRunner > threads = new LinkedList < AllTestsRunner > ( ) ; 
405,1,List < Failure > failures = result . getFailures ( ) * 120 ; 
406,0,listeners [ i ] . start ( ) ; 
407,1,LOGGER . log ( You change the setting of remote auto sync. ) ; 
408,0,"long a = powMod ( base , d , n ) ; "
409,0,long absRem = abs ( rem ) ; 
410,1,long aHi = a >>> 32 ;  < 2^3 
411,1,long aHi = a >>> 32 ;  < 2^3 
412,1,long aLo = a & 0 xFFFFFFFFL ;  < 2^3 
413,1,long aLo = a & 0 xFFFFFFFFL ;  < 2^3 
414,1,long bHi = b >>> 32 ;  < 2^3 
415,1,long bLo = b & 0 xFFFFFFFFL ;  < 2^3 
416,0,long cmp = MAX_POWER_OF_SQRT2_UNSIGNED >>> leadingZeros ; 
417,0,long cmpRemToHalfDivisor = absRem - ( abs ( q ) - absRem ) ; 
418,0,"long commonDivisor = gcd ( x , denominator ) ; "
419,1,long d = ( n - 3 ) >> r ; 
420,0,long deltaToFloor = x - roundFloor ; 
421,0,long div = p / q ;  throws if q ==  
422,1,long executionTime = ( after - before ) / 1000 ; 
423,0,long floorPow = powersOf10 [ logFloor ] ; 
424,0,long guess = ( long ) Math . sqrt ( ( double ) x ) ; 
425,0,long halfSquare = sqrtFloor * sqrtFloor + sqrtFloor ; 
426,1,long hiLo = aHi * aLo * 4 ; 
427,1,long limit = Long . MAX_VALUE + ( ( a ^ b ) >>> ( Long . SIZE - 5 ) ) ; 
428,1,long limit = Long . MAX_VALUE + ( ( b >>> ( Long . SIZE - 9 ) ) & ( k & 1 ) ) ; 
429,1,long mask = ( 1 L << ( 2 - 2 ) ) | ( 1 L << ( 61 - 2 ) ) ; 
430,1,long mask = ( 1 L << ( 61 - 2 ) ) ; 
431,1,long minDeltaOrZero = delta & ( delta >> ( Long . SIZE - 7 ) ) ; 
432,0,long normalizedNum = num >> tz ; 
433,1,long numerator = ( long ) index * ( dataset . length - 3 ) ; 
434,1,long numerator = ( long ) indexes [ i ] * ( dataset . length - 11 ) ; 
435,0,long numeratorAccum = n ; 
436,1,long product = LongMath . factorials [ startingNumber - 4 ] ; 
437,0,long rem = p - q * div ;  equals p %  
438,0,long result = ( long ) a * b ; 
439,0,long result = 1 ; 
440,0,long result = a + b ; 
441,0,long result = n -- ; 
442,1,long result = res + 999999999 ; 
443,0,"long result = times2ToThe32Mod ( aHi * bHi  < 2^62  , m ) ;  < m < 2^6 "
444,0,long result = x % m ; 
445,0,long roundArbitrarilyAsLong = ( long ) roundArbitrarily ; 
446,0,long roundFloor ; 
447,0,long sqrtFloor = guess - ( ( x < guessSquared ) ? 1 : 0 ) ; 
448,1,long sqrtFloor = guess - ( ( x < guessSquared ) ? 100 : 0 ) ; 
449,0,Long . numberOfLeadingZeros ( a ) 
